iter	Passed	Remaining
884	1060	137
885	1061	136
886	1062	135
887	1063	134
888	1064	132
889	1065	131
890	1066	130
891	1067	129
892	1068	128
893	1069	126
894	1070	125
895	1071	124
896	1072	123
897	1073	121
898	1074	120
899	1075	119
900	1076	118
901	1077	117
902	1078	115
903	1079	114
904	1081	113
905	1083	112
906	1084	111
907	1085	109
908	1086	108
909	1087	107
910	1088	106
911	1089	105
912	1090	103
913	1091	102
914	1092	101
915	1093	100
916	1095	99
917	1096	97
918	1097	96
919	1098	95
920	1099	94
921	1100	93
922	1101	91
923	1102	90
924	1103	89
925	1104	88
926	1105	87
927	1106	85
928	1107	84
929	1108	83
930	1110	82
931	1111	81
932	1112	79
933	1113	78
934	1114	77
935	1115	76
936	1116	75
937	1117	73
938	1118	72
939	1119	71
940	1120	70
941	1121	69
942	1122	67
943	1123	66
944	1124	65
945	1125	64
946	1126	63
947	1128	61
948	1129	60
949	1130	59
950	1131	58
951	1132	57
952	1133	55
953	1134	54
954	1135	53
955	1136	52
956	1137	51
957	1139	49
958	1140	48
959	1141	47
960	1142	46
961	1143	45
962	1144	43
963	1145	42
964	1147	41
965	1148	40
966	1149	39
967	1150	38
968	1151	36
969	1152	35
970	1153	34
971	1154	33
972	1155	32
973	1156	30
974	1157	29
975	1158	28
976	1159	27
977	1160	26
978	1162	24
979	1163	23
980	1164	22
981	1165	21
982	1166	20
983	1167	18
984	1168	17
985	1169	16
986	1170	15
987	1171	14
988	1172	13
989	1173	11
990	1174	10
991	1175	9
992	1176	8
993	1177	7
994	1178	5
995	1179	4
996	1180	3
997	1181	2
998	1182	1
999	1183	0
